pos_id,pos_name,salary,org_id,place_id
1393,經理,"1,000,000 / 年",984,10
1394,軟體工程師,"55,000 / 月",985,1
1395,軟體工程師,"40,000 / 月",986,6
1396,專案工程師,"38,000 / 月",987,15
1397,ISO╱品保人員,"30,500 / 月",988,2
1398,專案招募專員,"30,000 / 月",989,1
1399,廠務,"40,000 / 月",990,2
1400,高級工程師,"70,000 / 月",990,15
1401,製程設備工程師,"42,700 / 月",990,4
1402,業務,"60,000 / 月",991,1
1403,PE工程師,"60,000 / 月",992,6
1404,硬體工程師,"32,000 / 月",993,6
1405,國外業務主管,"28,000 / 月",994,2
1406,國內業務人員,"32,000 / 月",995,1
1407,專案工程師,"35,000 / 月",996,15
1408,助理研究員,"529,999 / 年",997,15
1409,軟體設計工程師,"52,000 / 月",998,1
1410,維修工程師,"58,000 / 月",998,15
1411,工程師,"560,000 / 年",999,2
1412,助理工程師,"32,000 / 月",1000,5
1413,系統助理工程師,"35,000 / 月",1001,5
1414,作業員,"22,000 / 月",1002,8
1415,工讀,158 / 小時,1003,15
1416,保險業務╱經紀人,"50,000 / 月",1004,2
1417,驗證工程師,"100,000 / 月",1005,15
1418,總務人員,"22,000 / 月",1006,1
1419,國內外業務,"30,000 / 月",1007,17
1420,電機技師╱工程師,"35,000 / 月",1008,4
1421,會計,"32,000 / 月",1009,5
1422,內勤,"22,000 / 月",1010,9
1423,軟體設計工程師,"80,000 / 月",1011,8
1424,韌體工程師,"48,000 / 月",1012,4
1425,網拍小編兼出貨人員,158 / 小時,1013,2
1426,設備,"42,000 / 月",1014,15
1427,專案管理主管,"90,000 / 月",1015,6
1428,專員,"40,000 / 月",1016,6
1429,軟體工程師,"76,000 / 月",1017,1
1430,硬體工程師,"40,000 / 月",1018,8
1431,軟體工程師,"30,000 / 月",1019,1
1432,安全人員,"28,000 / 月",1020,1
1433,生管,"26,000 / 月",1021,2
1434,業務襄理,"80,000 / 月",1022,2
1435,計時人員,150 / 小時,1023,15
1436,韌體工程師,"84,000 / 月",1024,1
1437,CNC機台操作人員,"22,000 / 月",1025,2
1438,蝕刻製程工程師,"43,000 / 月",1026,15
1439,業務,"35,000 / 月",1027,6
1440,助理工程師,"36,000 / 月",1028,8
1441,電腦繪圖人員,"28,000 / 月",1029,2
1442,生管工程師,"41,000 / 月",1030,11
1443,國外業務人員,"32,000 / 月",1031,10
1444,技術員,"30,000 / 月",1032,8
1445,生產技術╱製程工程師,"60,000 / 月",1032,8
1446,軟體工程師,"55,000 / 月",1033,6
1447,MIS,"34,000 / 月",1034,2
1448,電源工程師,"35,000 / 月",1035,5
1449,ＰＭ,"33,000 / 月",1036,6
1450,業務開發,"46,000 / 月",1037,6
1451,平面設計╱美編人員,"23,800 / 月",1038,2
1452,法務人員,"48,066 / 月",1039,1
1453,電訪人員,"22,000 / 月",1040,8
1454,醫檢師,"40,000 / 月",1041,1
1455,行銷業務,"52,000 / 月",1042,1
1456,設備工程師,"38,000 / 月",1043,2
1457,地勤,"30,000 / 月",1044,8
1458,儲訓技術員,"21,600 / 月",1044,1
1459,運務員,"42,000 / 月",1045,1
1460,工讀生,"22,000 / 月",1046,2
1461,活動工讀生,"22,000 / 月",1047,1
1462,硬體工程,"370,000 / 月",1048,1
1463,機台軟件工程師,"38,000 / 月",1049,2
1464,人力派遣,200 / 小時,1050,8
1465,資深硬體工程師,"59,000 / 月",1050,1
1466,現場工程師,"46,000 / 月",1051,2
1467,吉他教師,"22,000 / 月",1052,2
1468,美編設計師,"28,000 / 月",1053,6
1469,工程師,"40,000 / 月",1054,1
1470,業務助理,"32,000 / 月",1055,1
1471,C++軟體工程師,"22,000 / 月",1056,1
1472,班導師,"28,000 / 月",1057,15
1473,副理,"22,000 / 月",1058,6
1474,機構工程師,"70,000 / 月",1059,6
1475,營業員,"28,600 / 月",1060,1
1476,按摩╱推拿師,"22,000 / 月",1061,2
1477,驗證IP工程師,"1,000,000 / 年",1062,1
1478,外裝開發工程師,"45,000 / 月",1063,8
1479,工程師,"40,000 / 月",1064,6
1480,技術員,"35,000 / 月",1065,8
1481,客服工程師,"55,000 / 月",1065,8
1482,CAD╱CAM工程師,"40,000 / 月",1065,8
1483,工程師,"65,000 / 月",1066,15
1484,軟體工程師,"890,000 / 年",1067,1
1485,工讀生,"1,000 / 月",1068,6
1486,助理工程師,"50,000 / 月",1069,15
1487,可靠度工程師,"33,000 / 月",1069,15
1488,測試工讀生,150 / 小時,1070,6
1489,BIOS工程師,"34,000 / 月",1070,6
1490,硬體工程師,"60,000 / 月",1071,6
1491,工程部副理,"55,000 / 月",1072,2
1492,行銷專員,"35,000 / 月",1073,3
1493,行銷專員,"35,000 / 月",1074,1
1494,職工,"43,000 / 月",1075,1
1495,活動企劃,"30,000 / 月",1076,6
1496,軟體設計工程師,"85,000 / 月",1077,1
1497,業務助理,"27,000 / 月",1078,17
1498,機構工程師,"39,000 / 月",1079,2
1499,MES工程師,"42,000 / 月",1080,15
1500,品保,"40,000 / 月",1081,2
1501,平面設計師,"22,000 / 月",1082,9
1502,工讀,137 / 小時,1083,4
1503,PT,158 / 小時,1084,11
1504,澳洲客服,"28,000 / 月",1085,1
1505,人資,"35,000 / 月",1086,1
1506,機構工程師,"22,000 / 月",1087,15
1507,行銷企劃人員,"38,000 / 月",1088,1
1508,ISO╱品保人員,"48,800 / 月",1089,5
1509,硬體研發工程師,"60,000 / 月",1090,8
